street,city,zip,state,beds,baths,sq__ft,type,sale_date,price,latitude,longitude,is_zero_area,is_outlier_price
3526 HIGH ST,SACRAMENTO,95838,CA,2,1,836,Residential,20080521,59222,38.631913,-121.434879,0,0
51 OMAHA CT,SACRAMENTO,95823,CA,3,1,1167,Residential,20080521,68212,38.478902,-121.431028,0,0
2796 BRANCH ST,SACRAMENTO,95815,CA,2,1,796,Residential,20080521,68880,38.618305,-121.443839,0,0
2805 JANETTE WAY,SACRAMENTO,95815,CA,2,1,852,Residential,20080521,69307,38.616835,-121.439146,0,0
6001 MCMAHON DR,SACRAMENTO,95824,CA,2,1,797,Residential,20080521,81900,38.51947,-121.435768,0,0
5828 PEPPERMILL CT,SACRAMENTO,95841,CA,3,1,1122,Condo,20080521,89921,38.662595,-121.327813,0,0
6048 OGDEN NASH WAY,SACRAMENTO,95842,CA,3,2,1104,Residential,20080521,90895,38.681659,-121.351705,0,0
2561 19TH AVE,SACRAMENTO,95820,CA,3,1,1177,Residential,20080521,91002,38.535092,-121.481367,0,0
11150 TRINITY RIVER DR Unit 114,RANCHO CORDOVA,95670,CA,2,2,941,Condo,20080521,94905,38.621188,-121.270555,0,0
7325 10TH ST,RIO LINDA,95673,CA,3,2,1146,Residential,20080521,98937,38.700909,-121.442979,0,0
645 MORRISON AVE,SACRAMENTO,95838,CA,3,2,909,Residential,20080521,100309,38.637663,-121.45152,0,0
4085 FAWN CIR,SACRAMENTO,95823,CA,3,2,1289,Residential,20080521,106250,38.470746,-121.458918,0,0
2930 LA ROSA RD,SACRAMENTO,95815,CA,1,1,871,Residential,20080521,106852,38.618698,-121.435833,0,0
2113 KIRK WAY,SACRAMENTO,95822,CA,3,1,1020,Residential,20080521,107502,38.482215,-121.492603,0,0
4533 LOCH HAVEN WAY,SACRAMENTO,95842,CA,2,2,1022,Residential,20080521,108750,38.672914,-121.35934,0,0
7340 HAMDEN PL,SACRAMENTO,95842,CA,2,2,1134,Condo,20080521,110700,38.700051,-121.351278,0,0
6715 6TH ST,RIO LINDA,95673,CA,2,1,844,Residential,20080521,113263,38.689591,-121.452239,0,0
6236 LONGFORD DR Unit 1,CITRUS HEIGHTS,95621,CA,2,1,795,Condo,20080521,116250,38.679776,-121.314089,0,0
250 PERALTA AVE,SACRAMENTO,95833,CA,2,1,588,Residential,20080521,120000,38.612099,-121.469095,0,0
113 LEEWILL AVE,RIO LINDA,95673,CA,3,2,1356,Residential,20080521,121630,38.689999,-121.46322,0,0
6118 STONEHAND AVE,CITRUS HEIGHTS,95621,CA,3,2,1118,Residential,20080521,122000,38.707851,-121.320707,0,0
4882 BANDALIN WAY,SACRAMENTO,95823,CA,4,2,1329,Residential,20080521,122682,38.468173,-121.444071,0,0
7511 OAKVALE CT,NORTH HIGHLANDS,95660,CA,4,2,1240,Residential,20080521,123000,38.702792,-121.38221,0,0
9 PASTURE CT,SACRAMENTO,95834,CA,3,2,1601,Residential,20080521,124100,38.628631,-121.488097,0,0
3729 BAINBRIDGE DR,NORTH HIGHLANDS,95660,CA,3,2,901,Residential,20080521,125000,38.701499,-121.37622,0,0
3828 BLACKFOOT WAY,ANTELOPE,95843,CA,3,2,1088,Residential,20080521,126640,38.70974,-121.37377,0,0
4108 NORTON WAY,SACRAMENTO,95820,CA,3,1,963,Residential,20080521,127281,38.537526,-121.478315,0,0
1469 JANRICK AVE,SACRAMENTO,95832,CA,3,2,1119,Residential,20080521,129000,38.476472,-121.501711,0,0
9861 CULP WAY,SACRAMENTO,95827,CA,4,2,1380,Residential,20080521,131200,38.558423,-121.327948,0,0
7825 CREEK VALLEY CIR,SACRAMENTO,95828,CA,3,2,1248,Residential,20080521,132000,38.472122,-121.404199,0,0
5201 LAGUNA OAKS DR Unit 140,ELK GROVE,95758,CA,2,2,1039,Condo,20080521,133000,38.423251,-121.444489,0,0
6768 MEDORA DR,NORTH HIGHLANDS,95660,CA,3,2,1152,Residential,20080521,134555,38.691161,-121.37192,0,0
3100 EXPLORER DR,SACRAMENTO,95827,CA,3,2,1380,Residential,20080521,136500,38.566663,-121.332644,0,0
7944 DOMINION WAY,ELVERTA,95626,CA,3,2,1116,Residential,20080521,138750,38.713182,-121.411227,0,0
5201 LAGUNA OAKS DR Unit 162,ELK GROVE,95758,CA,2,2,1039,Condo,20080521,141000,38.423251,-121.444489,0,0
3920 SHINING STAR DR,SACRAMENTO,95823,CA,3,2,1418,Residential,20080521,146250,38.48742,-121.462459,0,0
5031 CORVAIR ST,NORTH HIGHLANDS,95660,CA,3,2,1082,Residential,20080521,147308,38.658246,-121.375469,0,0
7661 NIXOS WAY,SACRAMENTO,95823,CA,4,2,1472,Residential,20080521,148750,38.479553,-121.463317,0,0
7044 CARTHY WAY,SACRAMENTO,95828,CA,4,2,1146,Residential,20080521,149593,38.49857,-121.420925,0,0
2442 LARKSPUR LN,SACRAMENTO,95825,CA,1,1,760,Condo,20080521,150000,38.58514,-121.403736,0,0
4800 WESTLAKE PKWY Unit 2109,SACRAMENTO,95835,CA,2,2,1304,Condo,20080521,152000,38.658812,-121.542345,0,0
2178 63RD AVE,SACRAMENTO,95822,CA,3,2,1207,Residential,20080521,154000,38.493955,-121.48966,0,0
8718 ELK WAY,ELK GROVE,95624,CA,3,2,1056,Residential,20080521,156896,38.41653,-121.379653,0,0
5708 RIDGEPOINT DR,ANTELOPE,95843,CA,2,2,1043,Residential,20080521,161250,38.72027,-121.331555,0,0
7315 KOALA CT,NORTH HIGHLANDS,95660,CA,4,2,1587,Residential,20080521,161500,38.699251,-121.371414,0,0
2622 ERIN DR,SACRAMENTO,95833,CA,4,1,1120,Residential,20080521,164000,38.613765,-121.488694,0,0
8421 SUNBLAZE WAY,SACRAMENTO,95823,CA,4,2,1580,Residential,20080521,165000,38.450543,-121.432538,0,0
7420 ALIX PKWY,SACRAMENTO,95823,CA,4,1,1955,Residential,20080521,166357,38.489405,-121.452811,0,0
3820 NATOMA WAY,SACRAMENTO,95838,CA,4,2,1656,Residential,20080521,166357,38.636748,-121.422159,0,0
4431 GREEN TREE DR,SACRAMENTO,95823,CA,3,2,1477,Residential,20080521,168000,38.499954,-121.454469,0,0
9417 SARA ST,ELK GROVE,95624,CA,3,2,1188,Residential,20080521,170000,38.415518,-121.370527,0,0
8299 HALBRITE WAY,SACRAMENTO,95828,CA,4,2,1590,Residential,20080521,173000,38.473814,-121.4,0,0
7223 KALLIE KAY LN,SACRAMENTO,95823,CA,3,2,1463,Residential,20080521,174250,38.477553,-121.419463,0,0
8156 STEINBECK WAY,SACRAMENTO,95828,CA,4,2,1714,Residential,20080521,174313,38.474853,-121.406326,0,0
7957 VALLEY GREEN DR,SACRAMENTO,95823,CA,3,2,1185,Residential,20080521,178480,38.465184,-121.434925,0,0
1122 WILD POPPY CT,GALT,95632,CA,3,2,1406,Residential,20080521,178760,38.287789,-121.294715,0,0
4520 BOMARK WAY,SACRAMENTO,95842,CA,4,2,1943,Multi-Family,20080521,179580,38.665724,-121.358576,0,0
9012 KIEFER BLVD,SACRAMENTO,95826,CA,3,2,1172,Residential,20080521,181000,38.547011,-121.366217,0,0
5332 SANDSTONE ST,CARMICHAEL,95608,CA,3,1,1152,Residential,20080521,181872,38.662105,-121.313945,0,0
5993 SAWYER CIR,SACRAMENTO,95823,CA,4,3,1851,Residential,20080521,182587,38.4473,-121.435218,0,0
4844 CLYDEBANK WAY,ANTELOPE,95843,CA,3,2,1215,Residential,20080521,182716,38.714609,-121.347887,0,0
306 CAMELLIA WAY,GALT,95632,CA,3,2,1130,Residential,20080521,182750,38.260443,-121.297864,0,0
9021 MADISON AVE,ORANGEVALE,95662,CA,4,2,1603,Residential,20080521,183200,38.664186,-121.217511,0,0
404 6TH ST,GALT,95632,CA,3,1,1479,Residential,20080521,188741,38.251808,-121.302493,0,0
8317 SUNNY CREEK WAY,SACRAMENTO,95823,CA,3,2,1420,Residential,20080521,189000,38.459041,-121.424644,0,0
2617 BASS CT,SACRAMENTO,95826,CA,3,2,1280,Residential,20080521,192067,38.560767,-121.377471,0,0
7005 TIANT WAY,ELK GROVE,95758,CA,3,2,1586,Residential,20080521,194000,38.422811,-121.423285,0,0
7895 CABER WAY,ANTELOPE,95843,CA,3,2,1362,Residential,20080521,194818,38.711279,-121.393449,0,0
7624 BOGEY CT,SACRAMENTO,95828,CA,4,4,2162,Multi-Family,20080521,195000,38.48009,-121.415102,0,0
6930 HAMPTON COVE WAY,SACRAMENTO,95823,CA,3,2,1266,Residential,20080521,198000,38.44004,-121.421012,0,0
8708 MESA BROOK WAY,ELK GROVE,95624,CA,4,2,1715,Residential,20080521,199500,38.44076,-121.385792,0,0
120 GRANT LN,FOLSOM,95630,CA,3,2,1820,Residential,20080521,200000,38.687742,-121.17104,0,0
5907 ELLERSLEE DR,CARMICHAEL,95608,CA,3,1,936,Residential,20080521,200000,38.664468,-121.32683,0,0
17 SERASPI CT,SACRAMENTO,95834,CA,0,0,0,Residential,20080521,206000,38.631481,-121.50188,1,0
170 PENHOW CIR,SACRAMENTO,95834,CA,3,2,1511,Residential,20080521,208000,38.653439,-121.535169,0,0
8345 STAR THISTLE WAY,SACRAMENTO,95823,CA,4,2,1590,Residential,20080521,212864,38.454349,-121.439239,0,0
9080 FRESCA WAY,ELK GROVE,95758,CA,4,2,1596,Residential,20080521,221000,38.427818,-121.424026,0,0
391 NATALINO CIR,SACRAMENTO,95835,CA,2,2,1341,Residential,20080521,221000,38.67307,-121.506373,0,0
8373 BLACKMAN WAY,ELK GROVE,95624,CA,5,3,2136,Residential,20080521,223058,38.435436,-121.394536,0,0
9837 CORTE DORADO CT,ELK GROVE,95624,CA,4,2,1616,Residential,20080521,227887,38.400676,-121.38101,0,0
5037 J PKWY,SACRAMENTO,95823,CA,3,2,1478,Residential,20080521,231477,38.491399,-121.443547,0,0
10245 LOS PALOS DR,RANCHO CORDOVA,95670,CA,3,2,1287,Residential,20080521,234697,38.593699,-121.31089,0,0
6613 NAVION DR,CITRUS HEIGHTS,95621,CA,4,2,1277,Residential,20080521,235000,38.702855,-121.31308,0,0
2887 AZEVEDO DR,SACRAMENTO,95833,CA,4,2,1448,Residential,20080521,236000,38.618457,-121.509439,0,0
9186 KINBRACE CT,SACRAMENTO,95829,CA,4,3,2235,Residential,20080521,236685,38.463355,-121.358936,0,0
4243 MIDDLEBURY WAY,MATHER,95655,CA,3,2,2093,Residential,20080521,237800,38.547991,-121.280483,0,0
1028 FALLON PLACE CT,RIO LINDA,95673,CA,3,2,1193,Residential,20080521,240122,38.693818,-121.441153,0,0
4804 NORIKER DR,ELK GROVE,95757,CA,3,2,2163,Residential,20080521,242638,38.400974,-121.448424,0,0
7713 HARVEST WOODS DR,SACRAMENTO,95828,CA,3,2,1269,Residential,20080521,244000,38.478198,-121.412911,0,0
2866 KARITSA AVE,SACRAMENTO,95833,CA,0,0,0,Residential,20080521,244500,38.626671,-121.52597,1,0
6913 RICHEVE WAY,SACRAMENTO,95828,CA,3,1,958,Residential,20080521,244960,38.502519,-121.420769,0,0
8636 TEGEA WAY,ELK GROVE,95624,CA,5,3,2508,Residential,20080521,245918,38.443832,-121.382087,0,0
5448 MAIDSTONE WAY,CITRUS HEIGHTS,95621,CA,3,2,1305,Residential,20080521,250000,38.665395,-121.293288,0,0
18 OLLIE CT,ELK GROVE,95758,CA,4,2,1591,Residential,20080521,250000,38.444909,-121.412345,0,0
4010 ALEX LN,CARMICHAEL,95608,CA,2,2,1326,Condo,20080521,250134,38.637028,-121.312963,0,0
4901 MILLNER WAY,ELK GROVE,95757,CA,3,2,1843,Residential,20080521,254200,38.38692,-121.447349,0,0
4818 BRITTNEY LEE CT,SACRAMENTO,95841,CA,4,2,1921,Residential,20080521,254200,38.653917,-121.34218,0,0
5529 LAGUNA PARK DR,ELK GROVE,95758,CA,5,3,2790,Residential,20080521,258000,38.42568,-121.438062,0,0
230 CANDELA CIR,SACRAMENTO,95835,CA,3,2,1541,Residential,20080521,260000,38.656251,-121.547572,0,0
4900 71ST ST,SACRAMENTO,95820,CA,3,1,1018,Residential,20080521,260014,38.53151,-121.421089,0,0
12209 CONSERVANCY WAY,RANCHO CORDOVA,95742,CA,0,0,0,Residential,20080521,263500,38.553867,-121.219141,1,0
4236 NATOMAS CENTRAL DR,SACRAMENTO,95834,CA,3,2,1672,Condo,20080521,265000,38.648879,-121.544023,0,0
5615 LUPIN LN,POLLOCK PINES,95726,CA,3,2,1380,Residential,20080521,265000,38.708315,-120.603872,0,0
5625 JAMES WAY,SACRAMENTO,95822,CA,3,1,975,Residential,20080521,271742,38.523947,-121.484946,0,0
7842 LAHONTAN CT,SACRAMENTO,95829,CA,4,3,2372,Residential,20080521,273750,38.472976,-121.318633,0,0
6850 21ST ST,SACRAMENTO,95822,CA,3,2,1446,Residential,20080521,275086,38.502194,-121.490795,0,0
2900 BLAIR RD,POLLOCK PINES,95726,CA,2,2,1284,Residential,20080521,280908,38.75485,-120.60476,0,0
2064 EXPEDITION WAY,SACRAMENTO,95832,CA,4,3,3009,Residential,20080521,280987,38.474099,-121.490711,0,0
2912 NORCADE CIR,SACRAMENTO,95826,CA,8,4,3612,Multi-Family,20080521,282400,38.559505,-121.364839,0,0
9507 SEA CLIFF WAY,ELK GROVE,95758,CA,4,2,2056,Residential,20080521,285000,38.410992,-121.479043,0,0
8882 AUTUMN GOLD CT,ELK GROVE,95624,CA,4,2,1993,Residential,20080521,287417,38.4439,-121.37255,0,0
5322 WHITE LOTUS WAY,ELK GROVE,95757,CA,3,2,1857,Residential,20080521,291000,38.391538,-121.442596,0,0
1838 CASTRO WAY,SACRAMENTO,95818,CA,2,1,1126,Residential,20080521,292024,38.556098,-121.490787,0,0
10158 CRAWFORD WAY,SACRAMENTO,95827,CA,4,4,2213,Multi-Family,20080521,297000,38.5703,-121.315735,0,0
7731 MASTERS ST,ELK GROVE,95758,CA,5,3,2494,Residential,20080521,297000,38.442031,-121.410873,0,0
4925 PERCHERON DR,ELK GROVE,95757,CA,3,2,1843,Residential,20080521,298000,38.40154,-121.447649,0,0
2010 PROMONTORY POINT LN,GOLD RIVER,95670,CA,2,2,1520,Residential,20080521,299000,38.62869,-121.261669,0,0
4727 SAVOIE WAY,SACRAMENTO,95835,CA,5,3,2800,Residential,20080521,304037,38.658182,-121.549521,0,0
8664 MAGNOLIA HILL WAY,ELK GROVE,95624,CA,4,2,2309,Residential,20080521,311000,38.442352,-121.389675,0,0
9570 HARVEST ROSE WAY,SACRAMENTO,95827,CA,5,3,2367,Residential,20080521,315537,38.555993,-121.340352,0,0
4359 CREGAN CT,RANCHO CORDOVA,95742,CA,5,4,3516,Residential,20080521,320000,38.545128,-121.224922,0,0
5337 DUSTY ROSE WAY,RANCHO CORDOVA,95742,CA,0,0,0,Residential,20080521,320000,38.528575,-121.2286,1,0
8929 SUTTERS GOLD DR,SACRAMENTO,95826,CA,4,3,1914,Residential,20080521,328360,38.550848,-121.370224,0,0
8025 PEERLESS AVE,ORANGEVALE,95662,CA,2,1,1690,Residential,20080521,334150,38.71147,-121.216214,0,0
4620 WELERA WAY,ELK GROVE,95757,CA,3,3,2725,Residential,20080521,335750,38.398609,-121.450148,0,0
9723 TERRAPIN CT,ELK GROVE,95757,CA,4,3,2354,Residential,20080521,335750,38.403492,-121.430224,0,0
2115 SMOKESTACK WAY,SACRAMENTO,95833,CA,0,0,0,Residential,20080521,339500,38.602416,-121.542965,1,0
100 REBECCA WAY,FOLSOM,95630,CA,3,2,2185,Residential,20080521,344250,38.68479,-121.149199,0,0
9488 OAK VILLAGE WAY,ELK GROVE,95758,CA,4,2,1801,Residential,20080521,346210,38.41333,-121.404999,0,0
8495 DARTFORD DR,SACRAMENTO,95823,CA,3,3,1961,Residential,20080521,347029,38.448507,-121.421346,0,0
6708 PONTA DO SOL WAY,ELK GROVE,95757,CA,4,2,3134,Residential,20080521,347650,38.380635,-121.425538,0,0
4143 SEA MEADOW WAY,SACRAMENTO,95823,CA,4,3,1915,Residential,20080521,351300,38.46534,-121.457519,0,0
3020 RICHARDSON CIR,EL DORADO HILLS,95762,CA,3,2,0,Residential,20080521,352000,38.691299,-121.081752,1,0
8082 LINDA ISLE LN,SACRAMENTO,95831,CA,0,0,0,Residential,20080521,370000,38.4772,-121.5215,1,0
15300 MURIETA SOUTH PKWY,RANCHO MURIETA,95683,CA,4,3,2734,Residential,20080521,370500,38.4874,-121.075129,0,0
11215 SHARRMONT CT,WILTON,95693,CA,3,2,2110,Residential,20080521,372000,38.35062,-121.228349,0,0
7105 DANBERG WAY,ELK GROVE,95757,CA,5,3,3164,Residential,20080521,375000,38.4019,-121.420388,0,0
5579 JERRY LITELL WAY,SACRAMENTO,95835,CA,5,3,3599,Residential,20080521,381300,38.677126,-121.500519,0,0
1050 FOXHALL WAY,SACRAMENTO,95831,CA,4,2,2054,Residential,20080521,381942,38.509819,-121.519661,0,0
7837 ABBINGTON WAY,ANTELOPE,95843,CA,4,2,1830,Residential,20080521,387731,38.709873,-121.339472,0,0
1300 F ST,SACRAMENTO,95814,CA,3,3,1627,Residential,20080521,391000,38.58355,-121.487289,0,0
6801 RAWLEY WAY,ELK GROVE,95757,CA,4,3,3440,Residential,20080521,394470,38.408351,-121.423925,0,0
1693 SHELTER COVE DR,GREENWOOD,95635,CA,3,2,2846,Residential,20080521,395000,38.945357,-120.908822,0,0
9361 WADDELL LN,ELK GROVE,95624,CA,4,3,2359,Residential,20080521,400186,38.450829,-121.349928,0,0
10 SEA FOAM CT,SACRAMENTO,95831,CA,3,3,2052,Residential,20080521,415000,38.487885,-121.545947,0,0
6945 RIO TEJO WAY,ELK GROVE,95757,CA,5,3,3433,Residential,20080521,425000,38.385638,-121.422616,0,0
4186 TULIP PARK WAY,RANCHO CORDOVA,95742,CA,5,3,3615,Residential,20080521,430000,38.550617,-121.23526,0,0
9278 DAIRY CT,ELK GROVE,95624,CA,0,0,0,Residential,20080521,445000,38.420338,-121.363757,1,0
207 ORANGE BLOSSOM CIR Unit C,FOLSOM,95630,CA,5,3,2687,Residential,20080521,460000,38.646273,-121.175322,0,0
6507 RIO DE ONAR WAY,ELK GROVE,95757,CA,4,3,2724,Residential,20080521,461000,38.38253,-121.428007,0,0
7004 RAWLEY WAY,ELK GROVE,95757,CA,4,3,3440,Residential,20080521,489332,38.406421,-121.422081,0,0
6503 RIO DE ONAR WAY,ELK GROVE,95757,CA,5,4,3508,Residential,20080521,510000,38.38253,-121.428038,0,0
2217 APPALOOSA CT,FOLSOM,95630,CA,4,2,2462,Residential,20080521,539000,38.655167,-121.090178,0,1
868 HILDEBRAND CIR,FOLSOM,95630,CA,0,0,0,Residential,20080521,585000,38.670947,-121.097727,1,1
6030 PALERMO WAY,EL DORADO HILLS,95762,CA,4,3,0,Residential,20080521,600000,38.672761,-121.050378,1,1
4070 REDONDO DR,EL DORADO HILLS,95762,CA,4,3,0,Residential,20080521,606238,38.666807,-121.06483,1,1
4004 CRESTA WAY,SACRAMENTO,95864,CA,3,3,2325,Residential,20080521,660000,38.591618,-121.370626,0,1
315 JUMEL CT,EL DORADO HILLS,95762,CA,6,5,0,Residential,20080521,830000,38.669931,-121.05958,1,1
6272 LONGFORD DR Unit 1,CITRUS HEIGHTS,95621,CA,2,1,795,Condo,20080520,69000,38.680923,-121.313945,0,0
3432 Y ST,SACRAMENTO,95817,CA,4,2,1099,Residential,20080520,70000,38.554967,-121.468046,0,0
9512 EMERALD PARK DR Unit 3,ELK GROVE,95624,CA,2,1,840,Condo,20080520,71000,38.40573,-121.369832,0,0
3132 CLAY ST,SACRAMENTO,95815,CA,2,1,800,Residential,20080520,78000,38.624678,-121.439203,0,0
5221 38TH AVE,SACRAMENTO,95824,CA,2,1,746,Residential,20080520,78400,38.518044,-121.443555,0,0
6112 HERMOSA ST,SACRAMENTO,95822,CA,3,1,1067,Residential,20080520,80000,38.515125,-121.480416,0,0
483 ARCADE BLVD,SACRAMENTO,95815,CA,4,2,1316,Residential,20080520,89000,38.623571,-121.454884,0,0
671 SONOMA AVE,SACRAMENTO,95815,CA,3,1,1337,Residential,20080520,90000,38.622953,-121.450142,0,0
5980 79TH ST,SACRAMENTO,95824,CA,2,1,868,Residential,20080520,90000,38.518373,-121.411779,0,0
7607 ELDER CREEK RD,SACRAMENTO,95824,CA,3,1,924,Residential,20080520,92000,38.51055,-121.414768,0,0
5028 14TH AVE,SACRAMENTO,95820,CA,2,1,610,Residential,20080520,93675,38.53942,-121.446894,0,0
14788 NATCHEZ CT,RANCHO MURIETA,95683,CA,0,0,0,Residential,20080520,97750,38.492287,-121.100032,1,0
1069 ACACIA AVE,SACRAMENTO,95815,CA,2,1,1220,Residential,20080520,98000,38.621998,-121.442238,0,0
5201 LAGUNA OAKS DR Unit 199,ELK GROVE,95758,CA,1,1,722,Condo,20080520,98000,38.423251,-121.444489,0,0
3847 LAS PASAS WAY,SACRAMENTO,95864,CA,3,1,1643,Residential,20080520,99000,38.588672,-121.373916,0,0
5201 LAGUNA OAKS DR Unit 172,ELK GROVE,95758,CA,1,1,722,Condo,20080520,100000,38.423251,-121.444489,0,0
1121 CREEKSIDE WAY,GALT,95632,CA,3,1,1080,Residential,20080520,106716,38.241514,-121.312199,0,0
5307 CABRILLO WAY,SACRAMENTO,95820,CA,3,1,1039,Residential,20080520,111000,38.52712,-121.435348,0,0
3725 DON JULIO BLVD,NORTH HIGHLANDS,95660,CA,3,1,1051,Residential,20080520,111000,38.67895,-121.379406,0,0
4803 MCCLOUD DR,SACRAMENTO,95842,CA,2,2,967,Residential,20080520,114800,38.682279,-121.352817,0,0
10542 SILVERWOOD WAY,RANCHO CORDOVA,95670,CA,3,1,1098,Residential,20080520,120108,38.587156,-121.295778,0,0
6318 39TH AVE,SACRAMENTO,95824,CA,3,1,1050,Residential,20080520,123225,38.518942,-121.430158,0,0
211 MCDANIEL CIR,SACRAMENTO,95838,CA,3,2,1110,Residential,20080520,123750,38.636565,-121.460383,0,0
3800 LYNHURST WAY,NORTH HIGHLANDS,95660,CA,3,1,888,Residential,20080520,125000,38.650445,-121.374861,0,0
6139 HERMOSA ST,SACRAMENTO,95822,CA,3,2,1120,Residential,20080520,125000,38.514665,-121.480411,0,0
2505 RHINE WAY,ELVERTA,95626,CA,3,2,1080,Residential,20080520,126000,38.717976,-121.407684,0,0
3692 PAYNE WAY,NORTH HIGHLANDS,95660,CA,3,1,957,Residential,20080520,129000,38.66654,-121.378298,0,0
604 MORRISON AVE,SACRAMENTO,95838,CA,2,1,952,Residential,20080520,134000,38.637678,-121.452476,0,0
648 SANTA ANA AVE,SACRAMENTO,95838,CA,3,2,1211,Residential,20080520,135000,38.658478,-121.450409,0,0
14 ASHLEY OAKS CT,SACRAMENTO,95815,CA,3,2,1264,Residential,20080520,135500,38.61779,-121.436765,0,0
3174 NORTHVIEW DR,SACRAMENTO,95833,CA,3,1,1080,Residential,20080520,140000,38.623817,-121.477827,0,0
840 TRANQUIL LN,GALT,95632,CA,3,2,1266,Residential,20080520,140000,38.270617,-121.299205,0,0
5333 PRIMROSE DR Unit 19A,FAIR OAKS,95628,CA,2,2,994,Condo,20080520,142500,38.662785,-121.276272,0,0
1035 MILLET WAY,SACRAMENTO,95834,CA,3,2,1202,Residential,20080520,143500,38.631056,-121.48508,0,0
5201 LAGUNA OAKS DR Unit 126,ELK GROVE,95758,CA,0,0,0,Condo,20080520,145000,38.423251,-121.444489,1,0
3328 22ND AVE,SACRAMENTO,95820,CA,2,1,722,Residential,20080520,145000,38.532727,-121.470783,0,0
