street,city,zip,state,beds,baths,sq__ft,type,sale_date,price,latitude,longitude,is_zero_area,is_outlier_price
8001 HARTWICK WAY,SACRAMENTO,95828,CA,4,2,1448,Residential,20080520,145000,38.488623,-121.410582,0,0
7812 HARTWICK WAY,SACRAMENTO,95828,CA,3,2,1188,Residential,20080520,145000,38.488611,-121.412808,0,0
4207 PAINTER WAY,NORTH HIGHLANDS,95660,CA,4,2,1183,Residential,20080520,146000,38.692915,-121.367497,0,0
7458 WINKLEY WAY,SACRAMENTO,95822,CA,3,1,1320,Residential,20080520,148500,38.487444,-121.491366,0,0
8354 SUNRISE WOODS WAY,SACRAMENTO,95828,CA,3,2,1117,Residential,20080520,149000,38.473288,-121.3963,0,0
8116 COTTONMILL CIR,SACRAMENTO,95828,CA,3,2,1364,Residential,20080520,150000,38.482876,-121.405912,0,0
4660 CEDARWOOD WAY,SACRAMENTO,95823,CA,4,2,1310,Residential,20080520,150000,38.484834,-121.449316,0,0
9254 HARROGATE WAY,ELK GROVE,95758,CA,2,2,1006,Residential,20080520,152000,38.420138,-121.412179,0,0
6716 TAREYTON WAY,CITRUS HEIGHTS,95621,CA,3,2,1104,Residential,20080520,156000,38.693724,-121.307169,0,0
2028 ROBERT WAY,SACRAMENTO,95825,CA,2,1,810,Residential,20080520,156000,38.609982,-121.419263,0,0
9346 AIZENBERG CIR,ELK GROVE,95624,CA,2,2,1123,Residential,20080520,156000,38.41875,-121.370019,0,0
4524 LOCH HAVEN WAY,SACRAMENTO,95842,CA,2,1,904,Residential,20080520,157788,38.67273,-121.359645,0,0
7140 BLUE SPRINGS WAY,CITRUS HEIGHTS,95621,CA,3,2,1156,Residential,20080520,161653,38.720653,-121.302241,0,0
4631 11TH AVE,SACRAMENTO,95820,CA,2,1,1321,Residential,20080520,161829,38.541965,-121.452132,0,0
3228 BAGGAN CT,ANTELOPE,95843,CA,3,2,1392,Residential,20080520,165000,38.715346,-121.388163,0,0
8515 DARTFORD DR,SACRAMENTO,95823,CA,3,2,1439,Residential,20080520,168000,38.448288,-121.420719,0,0
4500 TIPPWOOD WAY,SACRAMENTO,95842,CA,3,2,1159,Residential,20080520,169000,38.69951,-121.359989,0,0
2460 EL ROCCO WAY,RANCHO CORDOVA,95670,CA,3,2,1671,Residential,20080520,175000,38.591477,-121.31534,0,0
8244 SUNBIRD WAY,SACRAMENTO,95823,CA,3,2,1740,Residential,20080520,176250,38.457654,-121.431381,0,0
5841 VALLEY VALE WAY,SACRAMENTO,95823,CA,3,2,1265,Residential,20080520,179000,38.461283,-121.434322,0,0
7863 CRESTLEIGH CT,ANTELOPE,95843,CA,2,2,1007,Residential,20080520,180000,38.710889,-121.358876,0,0
7129 SPRINGMONT DR,ELK GROVE,95758,CA,3,2,1716,Residential,20080520,180400,38.417649,-121.420294,0,0
8284 RED FOX WAY,ELK GROVE,95758,CA,4,2,1685,Residential,20080520,182000,38.417182,-121.397231,0,0
2219 EL CANTO CIR,RANCHO CORDOVA,95670,CA,4,2,1829,Residential,20080520,184500,38.592383,-121.318669,0,0
8907 GEMWOOD WAY,ELK GROVE,95758,CA,3,2,1555,Residential,20080520,185000,38.435471,-121.441173,0,0
5925 MALEVILLE AVE,CARMICHAEL,95608,CA,4,2,1120,Residential,20080520,189000,38.666564,-121.325717,0,0
7031 CANEVALLEY CIR,CITRUS HEIGHTS,95621,CA,3,2,1137,Residential,20080520,194000,38.718693,-121.303619,0,0
3949 WILDROSE WAY,SACRAMENTO,95826,CA,3,1,1174,Residential,20080520,195000,38.543697,-121.366683,0,0
4437 MITCHUM CT,ANTELOPE,95843,CA,3,2,1393,Residential,20080520,200000,38.704407,-121.36113,0,0
2778 KAWEAH CT,CAMERON PARK,95682,CA,3,1,0,Residential,20080520,201000,38.694052,-120.995589,1,0
1636 ALLENWOOD CIR,LINCOLN,95648,CA,4,2,0,Residential,20080520,202500,38.879192,-121.309477,1,0
8151 QUAIL RIDGE CT,SACRAMENTO,95828,CA,3,2,1289,Residential,20080520,205000,38.461296,-121.390858,0,0
4899 WIND CREEK DR,SACRAMENTO,95838,CA,4,2,1799,Residential,20080520,205000,38.655887,-121.446119,0,0
2370 BIG CANYON CREEK RD,PLACERVILLE,95667,CA,3,2,0,Residential,20080520,205000,38.74458,-120.794254,1,0
6049 HAMBURG WAY,SACRAMENTO,95823,CA,4,3,1953,Residential,20080520,205000,38.443253,-121.431992,0,0
4232 71ST ST,SACRAMENTO,95820,CA,2,1,723,Residential,20080520,207000,38.536741,-121.42115,0,0
3361 BOW MAR CT,CAMERON PARK,95682,CA,2,2,0,Residential,20080520,210000,38.69437,-120.996602,1,0
1889 COLD SPRINGS RD,PLACERVILLE,95667,CA,2,1,948,Residential,20080520,211500,38.739774,-120.860243,0,0
5805 HIMALAYA WAY,CITRUS HEIGHTS,95621,CA,4,2,1578,Residential,20080520,215000,38.696489,-121.328555,0,0
7944 SYLVAN OAK WAY,CITRUS HEIGHTS,95610,CA,3,2,1317,Residential,20080520,215000,38.710388,-121.261096,0,0
3139 SPOONWOOD WAY Unit 1,SACRAMENTO,95833,CA,0,0,0,Residential,20080520,215500,38.626582,-121.52151,1,0
6217 LEOLA WAY,SACRAMENTO,95824,CA,3,1,1360,Residential,20080520,222381,38.513066,-121.451909,0,0
2340 HURLEY WAY,SACRAMENTO,95825,CA,0,0,0,Condo,20080520,225000,38.588816,-121.408549,1,0
3035 BRUNNET LN,SACRAMENTO,95833,CA,3,2,1522,Residential,20080520,225000,38.624762,-121.522775,0,0
3025 EL PRADO WAY,SACRAMENTO,95825,CA,4,2,1751,Residential,20080520,225000,38.606603,-121.394147,0,0
9387 GRANITE FALLS CT,ELK GROVE,95624,CA,3,2,1465,Residential,20080520,225000,38.419214,-121.348533,0,0
9257 CALDERA WAY,SACRAMENTO,95826,CA,4,2,1605,Residential,20080520,228000,38.55821,-121.355022,0,0
441 ARLINGDALE CIR,RIO LINDA,95673,CA,4,2,1475,Residential,20080520,229665,38.702893,-121.454949,0,0
2284 LOS ROBLES RD,MEADOW VISTA,95722,CA,3,1,1216,Residential,20080520,230000,39.008159,-121.03623,0,0
8164 CHENIN BLANC LN,FAIR OAKS,95628,CA,2,2,1315,Residential,20080520,230000,38.665644,-121.259969,0,0
4620 CHAMBERLIN CIR,ELK GROVE,95757,CA,3,2,1567,Residential,20080520,230000,38.390557,-121.449805,0,0
5340 BIRK WAY,SACRAMENTO,95835,CA,3,2,1776,Residential,20080520,234000,38.672495,-121.515251,0,0
51 ANJOU CIR,SACRAMENTO,95835,CA,3,2,2187,Residential,20080520,235000,38.661658,-121.540633,0,0
2125 22ND AVE,SACRAMENTO,95822,CA,3,1,1291,Residential,20080520,236250,38.534596,-121.493121,0,0
611 BLOSSOM ROCK LN,FOLSOM,95630,CA,0,0,0,Condo,20080520,240000,38.6457,-121.1197,1,0
8830 ADUR RD,ELK GROVE,95624,CA,0,0,0,Residential,20080520,242000,38.43742,-121.372876,1,0
7344 BUTTERBALL WAY,SACRAMENTO,95842,CA,3,2,1503,Residential,20080520,245000,38.699489,-121.361828,0,0
8219 GWINHURST CIR,SACRAMENTO,95828,CA,4,3,2491,Residential,20080520,245000,38.459711,-121.384283,0,0
3240 S ST,SACRAMENTO,95816,CA,2,1,1269,Residential,20080520,245000,38.562296,-121.467489,0,0
221 PICASSO CIR,SACRAMENTO,95835,CA,0,0,0,Residential,20080520,250000,38.676658,-121.528128,1,0
5706 GREENACRES WAY,ORANGEVALE,95662,CA,3,2,1176,Residential,20080520,250000,38.669882,-121.213533,0,0
6900 LONICERA DR,ORANGEVALE,95662,CA,4,2,1456,Residential,20080520,250000,38.692199,-121.250975,0,0
419 DAWNRIDGE RD,ROSEVILLE,95678,CA,3,2,1498,Residential,20080520,250000,38.725283,-121.297953,0,0
5312 MARBURY WAY,ANTELOPE,95843,CA,3,2,1574,Residential,20080520,255000,38.710221,-121.341651,0,0
6344 BONHAM CIR,CITRUS HEIGHTS,95610,CA,5,4,2085,Multi-Family,20080520,256054,38.682358,-121.272876,0,0
8207 YORKTON WAY,SACRAMENTO,95829,CA,3,2,2170,Residential,20080520,257729,38.45967,-121.360461,0,0
7922 MANSELL WAY,ELK GROVE,95758,CA,4,2,1595,Residential,20080520,260000,38.409634,-121.410787,0,0
5712 MELBURY CIR,ANTELOPE,95843,CA,3,2,1567,Residential,20080520,261000,38.705849,-121.334701,0,0
632 NEWBRIDGE LN,LINCOLN,95648,CA,4,2,0,Residential,20080520,261800,38.879084,-121.298586,1,0
1570 GLIDDEN AVE,SACRAMENTO,95822,CA,4,2,1253,Residential,20080520,264469,38.482704,-121.500433,0,0
8108 FILIFERA WAY,ANTELOPE,95843,CA,4,3,1768,Residential,20080520,265000,38.717042,-121.35468,0,0
230 BANKSIDE WAY,SACRAMENTO,95835,CA,0,0,0,Residential,20080520,270000,38.676937,-121.529244,1,0
5342 CALABRIA WAY,SACRAMENTO,95835,CA,4,3,2030,Residential,20080520,270000,38.671807,-121.498274,0,0
47 NAPONEE CT,SACRAMENTO,95835,CA,3,2,1531,Residential,20080520,270000,38.665704,-121.529096,0,0
4236 ADRIATIC SEA WAY,SACRAMENTO,95834,CA,0,0,0,Residential,20080520,270000,38.647961,-121.543162,1,0
8864 REMBRANT CT,ELK GROVE,95624,CA,4,3,1653,Residential,20080520,275000,38.435288,-121.375703,0,0
9455 SEA CLIFF WAY,ELK GROVE,95758,CA,4,2,2056,Residential,20080520,275000,38.411522,-121.481406,0,0
9720 LITTLE HARBOR WAY,ELK GROVE,95624,CA,4,3,2494,Residential,20080520,280000,38.404934,-121.352405,0,0
8806 PHOENIX AVE,FAIR OAKS,95628,CA,3,2,1450,Residential,20080520,286013,38.660322,-121.230101,0,0
3578 LOGGERHEAD WAY,SACRAMENTO,95834,CA,4,2,2169,Residential,20080520,292000,38.633028,-121.526755,0,0
1416 LOCKHART WAY,ROSEVILLE,95747,CA,3,2,1440,Residential,20080520,292000,38.752399,-121.330328,0,0
5413 BUENA VENTURA WAY,FAIR OAKS,95628,CA,3,2,1527,Residential,20080520,293993,38.664552,-121.255937,0,0
37 WHITE BIRCH CT,ROSEVILLE,95678,CA,3,2,1401,Residential,20080520,294000,38.776327,-121.284514,0,0
405 MARLIN SPIKE WAY,SACRAMENTO,95838,CA,3,2,1411,Residential,20080520,296769,38.65783,-121.456842,0,0
1102 CHESLEY LN,LINCOLN,95648,CA,4,4,0,Residential,20080520,297500,38.864864,-121.313988,1,0
11281 STANFORD COURT LN Unit 604,GOLD RIVER,95670,CA,0,0,0,Condo,20080520,300000,38.625289,-121.260286,1,0
7320 6TH ST,RIO LINDA,95673,CA,3,1,1284,Residential,20080520,300000,38.700553,-121.452223,0,0
993 MANTON CT,GALT,95632,CA,4,3,2307,Residential,20080520,300000,38.272942,-121.289148,0,0
4487 PANORAMA DR,PLACERVILLE,95667,CA,3,2,1329,Residential,20080520,300000,38.694559,-120.848157,0,0
5651 OVERLEAF WAY,SACRAMENTO,95835,CA,4,2,1910,Residential,20080520,300500,38.677454,-121.494791,0,0
2015 PROMONTORY POINT LN,GOLD RIVER,95670,CA,3,2,1981,Residential,20080520,305000,38.628732,-121.261149,0,0
3224 PARKHAM DR,ROSEVILLE,95747,CA,0,0,0,Residential,20080520,306500,38.772771,-121.364877,1,0
15 VANESSA PL,SACRAMENTO,95835,CA,0,0,0,Residential,20080520,312500,38.668692,-121.54549,1,0
1312 RENISON LN,LINCOLN,95648,CA,5,3,0,Residential,20080520,315000,38.866409,-121.308485,1,0
8 RIVER RAFT CT,SACRAMENTO,95823,CA,4,2,2205,Residential,20080520,319789,38.447353,-121.434969,0,0
2251 LAMPLIGHT LN,LINCOLN,95648,CA,2,2,1449,Residential,20080520,330000,38.849924,-121.275729,0,0
106 FARHAM DR,FOLSOM,95630,CA,3,2,1258,Residential,20080520,330000,38.667834,-121.168578,0,0
5405 NECTAR CIR,ELK GROVE,95757,CA,3,2,2575,Residential,20080520,331000,38.387014,-121.440967,0,0
5411 10TH AVE,SACRAMENTO,95820,CA,2,1,539,Residential,20080520,334000,38.542727,-121.442449,0,0
3512 RAINSONG CIR,RANCHO CORDOVA,95670,CA,4,3,2208,Residential,20080520,336000,38.573488,-121.282809,0,0
1106 55TH ST,SACRAMENTO,95819,CA,3,1,1108,Residential,20080520,339000,38.563805,-121.436395,0,0
411 ILLSLEY WAY,FOLSOM,95630,CA,4,2,1595,Residential,20080520,339000,38.652002,-121.129504,0,0
796 BUTTERCUP CIR,GALT,95632,CA,4,2,2159,Residential,20080520,345000,38.279581,-121.300828,0,0
1230 SANDRA CIR,PLACERVILLE,95667,CA,4,3,2295,Residential,20080520,350000,38.738141,-120.784145,0,0
318 ANACAPA DR,ROSEVILLE,95678,CA,3,2,1838,Residential,20080520,356000,38.782094,-121.297133,0,0
3975 SHINING STAR DR,SACRAMENTO,95823,CA,4,2,1900,Residential,20080520,361745,38.487409,-121.461413,0,0
1620 BASLER ST,SACRAMENTO,95811,CA,4,2,1718,Residential,20080520,361948,38.591822,-121.478644,0,0
9688 NATURE TRAIL WAY,ELK GROVE,95757,CA,5,3,3389,Residential,20080520,370000,38.405224,-121.479275,0,0
5924 TANUS CIR,ROCKLIN,95677,CA,4,2,0,Residential,20080520,380000,38.778691,-121.204292,1,0
9629 CEDAR OAK WAY,ELK GROVE,95757,CA,5,4,3260,Residential,20080520,385000,38.405527,-121.431746,0,0
3429 FERNBROOK CT,CAMERON PARK,95682,CA,3,2,2016,Residential,20080520,399000,38.664225,-121.007173,0,0
2121 HANNAH WAY,ROCKLIN,95765,CA,4,2,2607,Residential,20080520,402000,38.805749,-121.280931,0,0
10104 ANNIE ST,ELK GROVE,95757,CA,4,3,2724,Residential,20080520,406026,38.390465,-121.443479,0,0
1092 MAUGHAM CT,GALT,95632,CA,5,4,3746,Residential,20080520,420000,38.271646,-121.286848,0,0
5404 ALMOND FALLS WAY,RANCHO CORDOVA,95742,CA,0,0,0,Residential,20080520,425000,38.527502,-121.233492,1,0
6306 CONEJO,RANCHO MURIETA,95683,CA,4,2,3192,Residential,20080520,425000,38.512602,-121.087233,0,0
14 CASA VATONI PL,SACRAMENTO,95834,CA,0,0,0,Residential,20080520,433500,38.650221,-121.551704,1,0
1456 EAGLESFIELD LN,LINCOLN,95648,CA,4,3,0,Residential,20080520,436746,38.857635,-121.311375,1,0
4100 BOTHWELL CIR,EL DORADO HILLS,95762,CA,5,3,0,Residential,20080520,438700,38.679136,-121.034329,1,0
427 21ST ST,SACRAMENTO,95811,CA,2,1,1247,Residential,20080520,445000,38.582604,-121.47576,0,0
1044 GALSTON DR,FOLSOM,95630,CA,4,2,2581,Residential,20080520,450000,38.676306,-121.09954,0,0
4440 SYCAMORE AVE,SACRAMENTO,95841,CA,3,1,2068,Residential,20080520,460000,38.646374,-121.353658,0,0
1032 SOUZA DR,EL DORADO HILLS,95762,CA,3,2,0,Residential,20080520,460000,38.668239,-121.064437,1,0
9760 LAZULITE CT,ELK GROVE,95624,CA,4,3,3992,Residential,20080520,460000,38.403609,-121.335541,0,0
241 LANFRANCO CIR,SACRAMENTO,95835,CA,4,4,3397,Residential,20080520,465000,38.665696,-121.549437,0,0
5559 NORTHBOROUGH DR,SACRAMENTO,95835,CA,5,3,3881,Residential,20080520,471750,38.677225,-121.519687,0,0
2125 BIG SKY DR,ROCKLIN,95765,CA,5,3,0,Residential,20080520,480000,38.801637,-121.278798,1,0
2109 HAMLET PL,CARMICHAEL,95608,CA,2,2,1598,Residential,20080520,484000,38.602754,-121.329326,0,0
9970 STATE HIGHWAY 193,PLACERVILLE,95667,CA,4,3,1929,Residential,20080520,485000,38.787877,-120.816676,0,0
2901 PINTAIL WAY,ELK GROVE,95757,CA,4,3,3070,Residential,20080520,495000,38.398488,-121.473424,0,0
201 FIRESTONE DR,ROSEVILLE,95678,CA,0,0,0,Residential,20080520,500500,38.770153,-121.300039,1,0
1740 HIGH ST,AUBURN,95603,CA,3,3,0,Residential,20080520,504000,38.891935,-121.08434,1,0
2733 DANA LOOP,EL DORADO HILLS,95762,CA,0,0,0,Residential,20080520,541000,38.628459,-121.055078,1,1
9741 SADDLEBRED CT,WILTON,95693,CA,0,0,0,Residential,20080520,560000,38.408841,-121.198039,1,1
7756 TIGERWOODS DR,SACRAMENTO,95829,CA,5,3,3984,Residential,20080520,572500,38.47643,-121.309243,0,1
5709 RIVER OAK WAY,CARMICHAEL,95608,CA,4,2,2222,Residential,20080520,582000,38.602461,-121.330979,0,1
2981 WRINGER DR,ROSEVILLE,95661,CA,4,3,3838,Residential,20080520,613401,38.735373,-121.227072,0,1
8616 ROCKPORTE CT,ROSEVILLE,95747,CA,4,2,0,Residential,20080520,614000,38.742118,-121.359909,1,1
4128 HILL ST,FAIR OAKS,95628,CA,5,5,2846,Residential,20080520,680000,38.64167,-121.262099,0,1
1409 47TH ST,SACRAMENTO,95819,CA,5,2,2484,Residential,20080520,699000,38.563244,-121.446876,0,1
3935 EL MONTE DR,LOOMIS,95650,CA,4,4,1624,Residential,20080520,839000,38.813337,-121.133348,0,1
5840 WALERGA RD,SACRAMENTO,95842,CA,2,1,840,Condo,20080519,40000,38.673678,-121.357471,0,0
923 FULTON AVE,SACRAMENTO,95825,CA,1,1,484,Condo,20080519,48000,38.582279,-121.401482,0,0
261 REDONDO AVE,SACRAMENTO,95815,CA,3,1,970,Residential,20080519,61500,38.620685,-121.460539,0,0
4030 BROADWAY,SACRAMENTO,95817,CA,2,1,623,Residential,20080519,62050,38.546798,-121.460038,0,0
3660 22ND AVE,SACRAMENTO,95820,CA,2,1,932,Residential,20080519,65000,38.532718,-121.46747,0,0
3924 HIGH ST,SACRAMENTO,95838,CA,2,1,796,Residential,20080519,65000,38.638797,-121.435049,0,0
4734 14TH AVE,SACRAMENTO,95820,CA,2,1,834,Residential,20080519,68000,38.539447,-121.450858,0,0
4734 14TH AVE,SACRAMENTO,95820,CA,2,1,834,Residential,20080519,68000,38.539447,-121.450858,0,0
5050 RHODE ISLAND DR Unit 4,SACRAMENTO,95841,CA,2,1,924,Condo,20080519,77000,38.658739,-121.333561,0,0
4513 GREENHOLME DR,SACRAMENTO,95842,CA,2,1,795,Condo,20080519,82732,38.669104,-121.359008,0,0
3845 ELM ST,SACRAMENTO,95838,CA,3,1,1250,Residential,20080519,84000,38.637337,-121.432835,0,0
3908 17TH AVE,SACRAMENTO,95820,CA,2,1,984,Residential,20080519,84675,38.53728,-121.463531,0,0
7109 CHANDLER DR,SACRAMENTO,95828,CA,3,1,1013,Residential,20080519,85000,38.497237,-121.424187,0,0
7541 SKELTON WAY,SACRAMENTO,95822,CA,3,1,1012,Residential,20080519,90000,38.484274,-121.488851,0,0
9058 MONTOYA ST,SACRAMENTO,95826,CA,2,1,795,Condo,20080519,90000,38.559144,-121.368387,0,0
1016 CONGRESS AVE,SACRAMENTO,95838,CA,2,2,918,Residential,20080519,91000,38.630151,-121.442789,0,0
540 MORRISON AVE,SACRAMENTO,95838,CA,3,1,1082,Residential,20080519,95000,38.637704,-121.453946,0,0
5303 JERRETT WAY,SACRAMENTO,95842,CA,2,1,964,Residential,20080519,97500,38.663282,-121.359631,0,0
2820 DEL PASO BLVD,SACRAMENTO,95815,CA,4,2,1404,Multi-Family,20080519,100000,38.617718,-121.440089,0,0
3715 TALLYHO DR Unit 78HIGH,SACRAMENTO,95826,CA,1,1,625,Condo,20080519,100000,38.544627,-121.35796,0,0
6013 ROWAN WAY,CITRUS HEIGHTS,95621,CA,2,1,888,Residential,20080519,101000,38.675893,-121.2963,0,0
2987 PONDEROSA LN,SACRAMENTO,95815,CA,4,2,1120,Residential,20080519,102750,38.622243,-121.457863,0,0
3732 LANKERSHIM WAY,NORTH HIGHLANDS,95660,CA,3,1,1331,Residential,20080519,112500,38.68972,-121.378399,0,0
2216 DUNLAP DR,SACRAMENTO,95821,CA,3,1,1014,Residential,20080519,113000,38.623738,-121.41305,0,0
3503 21ST AVE,SACRAMENTO,95820,CA,4,2,1448,Residential,20080519,114000,38.53361,-121.469308,0,0
523 EXCHANGE ST,SACRAMENTO,95838,CA,3,1,966,Residential,20080519,114000,38.659414,-121.45408,0,0
8101 PORT ROYALE WAY,SACRAMENTO,95823,CA,2,1,779,Residential,20080519,114750,38.463929,-121.438667,0,0
8020 WALERGA RD,ANTELOPE,95843,CA,2,2,836,Condo,20080519,115000,38.71607,-121.364468,0,0
167 VALLEY OAK DR,ROSEVILLE,95678,CA,2,2,1100,Condo,20080519,115000,38.732429,-121.288069,0,0
7876 BURLINGTON WAY,SACRAMENTO,95832,CA,3,1,1174,Residential,20080519,116100,38.470093,-121.468347,0,0
3726 JONKO AVE,NORTH HIGHLANDS,95660,CA,3,2,1207,Residential,20080519,119250,38.656131,-121.377265,0,0
7342 GIGI PL,SACRAMENTO,95828,CA,4,4,1995,Multi-Family,20080519,120000,38.490704,-121.410176,0,0
2610 PHYLLIS AVE,SACRAMENTO,95820,CA,2,1,804,Residential,20080519,120000,38.53105,-121.479574,0,0
4200 COMMERCE WAY Unit 711,SACRAMENTO,95834,CA,2,2,958,Condo,20080519,120000,38.647523,-121.523217,0,0
4621 COUNTRY SCENE WAY,SACRAMENTO,95823,CA,3,2,1366,Residential,20080519,120108,38.470187,-121.448149,0,0
5380 VILLAGE WOOD DR,SACRAMENTO,95823,CA,2,2,901,Residential,20080519,121500,38.454949,-121.440578,0,0
2621 EVERGREEN ST,SACRAMENTO,95815,CA,3,1,696,Residential,20080519,121725,38.613103,-121.444085,0,0
201 CARLO CT,GALT,95632,CA,3,2,1080,Residential,20080519,122000,38.24227,-121.31032,0,0
6743 21ST ST,SACRAMENTO,95822,CA,3,2,1104,Residential,20080519,123000,38.50372,-121.490657,0,0
3128 VIA GRANDE,SACRAMENTO,95825,CA,2,1,972,Residential,20080519,125000,38.598321,-121.39161,0,0
2847 BELGRADE WAY,SACRAMENTO,95833,CA,4,2,1390,Residential,20080519,125573,38.617173,-121.482541,0,0
7741 MILLDALE CIR,ELVERTA,95626,CA,4,2,1354,Residential,20080519,126714,38.705834,-121.43919,0,0
9013 CASALS ST,SACRAMENTO,95826,CA,2,1,795,Condo,20080519,126960,38.557045,-121.37167,0,0
227 MAHAN CT Unit 1,ROSEVILLE,95678,CA,2,1,780,Condo,20080519,127000,38.749723,-121.27008,0,0
7349 FLETCHER FARM DR,SACRAMENTO,95828,CA,4,2,1587,Residential,20080519,127500,38.49069,-121.382619,0,0
7226 LARCHMONT DR,NORTH HIGHLANDS,95660,CA,3,2,1209,Residential,20080519,130000,38.699269,-121.376334,0,0
4114 35TH AVE,SACRAMENTO,95824,CA,2,1,1139,Residential,20080519,133105,38.520941,-121.459355,0,0
617 M ST,RIO LINDA,95673,CA,2,2,1690,Residential,20080519,136500,38.691104,-121.451832,0,0
7032 FAIR OAKS BLVD,CARMICHAEL,95608,CA,3,2,1245,Condo,20080519,139500,38.628563,-121.328297,0,0
2421 SANTINA WAY,ELVERTA,95626,CA,3,2,1416,Residential,20080519,140000,38.71865,-121.407763,0,0
2368 CRAIG AVE,SACRAMENTO,95832,CA,3,2,1300,Residential,20080519,140800,38.47807,-121.48114,0,0
2123 AMANDA WAY,SACRAMENTO,95822,CA,3,2,1120,Residential,20080519,145000,38.484896,-121.486948,0,0
7620 DARLA WAY,SACRAMENTO,95828,CA,4,2,1590,Residential,20080519,147000,38.478502,-121.403517,0,0
8344 FIELDPOPPY CIR,SACRAMENTO,95828,CA,3,2,1407,Residential,20080519,149600,38.479083,-121.400702,0,0
3624 20TH AVE,SACRAMENTO,95820,CA,5,2,1516,Residential,20080519,150000,38.534508,-121.467907,0,0
10001 WOODCREEK OAKS BLVD Unit 1415,ROSEVILLE,95747,CA,2,2,0,Condo,20080519,150000,38.795529,-121.328819,1,0
